frame_id,mode,success,tx,ty,tz,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0020,track,1,0.03241661,-0.01368093,0.49458900,0.01205508,0.14652415,0.00458890,0.98912305,0.95701903,-0.00554524,0.28997141,0.03241661,0.01261071,0.99966699,-0.02250313,-0.01368093,-0.28975010,0.02519270,0.95677066,0.49458900,-0.00000000,0.00000000,-0.00000000,1.00000000
0021,track,1,0.03276994,-0.01498117,0.49323374,0.01904449,0.18962169,0.00263664,0.98166895,0.92807311,0.00204589,0.37239182,0.03276994,0.01239914,0.99926049,-0.03639083,-0.01498117,-0.37219095,0.03839071,0.92736173,0.49323374,-0.00000000,0.00000000,-0.00000000,1.00000000
0022,track,1,0.03260566,-0.01565482,0.49234194,0.02162718,0.22153851,0.00247881,0.97490865,0.90182889,0.00474930,0.43206680,0.03260566,0.01441575,0.99905211,-0.04107073,-0.01565482,-0.43185237,0.04326736,0.90090585,0.49234194,-0.00000000,0.00000000,-0.00000000,1.00000000
0023,track,1,0.03227962,-0.01558880,0.49158081,0.01914691,0.25332305,0.00037392,0.96719217,0.87165439,0.00897743,0.49003834,0.03227962,0.01042402,0.99926645,-0.03684803,-0.01558880,-0.49000978,0.03722694,0.87092167,0.49158081,-0.00000000,0.00000000,-0.00000000,1.00000000
0024,track,1,0.03178171,-0.01534763,0.49139059,0.02049465,0.28782591,0.00107238,0.95746285,0.83430994,0.00974427,0.55120915,0.03178171,0.01385134,0.99915761,-0.03862840,-0.01534763,-0.55112129,0.03986307,0.83347249,0.49139059,-0.00000000,0.00000000,-0.00000000,1.00000000
0025,track,1,0.03232895,-0.01519956,0.49180916,0.01839397,0.30790031,0.00109264,0.95124024,0.81039226,0.00924831,0.58581442,0.03232895,0.01340577,0.99932086,-0.03432129,-0.01519956,-0.58573407,0.03566702,0.80971819,0.49180916,-0.00000000,0.00000000,-0.00000000,1.00000000
0026,track,1,0.03240261,-0.01501589,0.49121466,0.01855759,0.32582879,0.00118831,0.94524592,0.78766823,0.00984673,0.61602074,0.03240261,0.01433970,0.99930835,-0.03430859,-0.01501589,-0.61593246,0.03585735,0.78698254,0.49121466,-0.00000000,0.00000000,-0.00000000,1.00000000
0027,track,1,0.03246252,-0.01565623,0.49346334,0.02235010,0.33817333,0.00211768,0.94081604,0.77126849,0.01113174,0.63641244,0.03246252,0.01910114,0.99899197,-0.04062235,-0.01565623,-0.63622308,0.04348695,0.77027863,0.49346334,-0.00000000,0.00000000,-0.00000000,1.00000000
0028,track,1,0.03276817,-0.01553366,0.49333638,0.02200586,0.36807415,0.00102033,0.92953545,0.72904074,0.01430274,0.68432087,0.03276817,0.01809646,0.99902934,-0.04015932,-0.01553366,-0.68423092,0.04166156,0.72807443,0.49333638,-0.00000000,0.00000000,-0.00000000,1.00000000
0029,track,1,0.03438201,-0.01547253,0.49605760,0.02200056,0.40896663,0.00088624,0.91228366,0.66549110,0.01637801,0.74622625,0.03438201,0.01961202,0.99903029,-0.03941661,-0.01547253,-0.74614805,0.04086639,0.66452467,0.49605760,-0.00000000,0.00000000,-0.00000000,1.00000000
0030,track,1,0.03582621,-0.01553916,0.49636585,0.01965250,0.43469018,0.00319140,0.90035999,0.62206864,0.01133870,0.78288078,0.03582621,0.02283235,0.99920708,-0.03261410,-0.01553916,-0.78262967,0.03816320,0.62131661,0.49636585,-0.00000000,0.00000000,-0.00000000,1.00000000
0031,track,1,0.03703170,-0.01598595,0.49692628,0.02015958,0.46390045,0.00321844,0.88565207,0.56957209,0.01300328,0.82183874,0.03703170,0.02440493,0.99916631,-0.03272267,-0.01598595,-0.82157886,0.03869482,0.56878000,0.49692628,-0.00000000,0.00000000,-0.00000000,1.00000000
