frame_id,mode,success,tx,ty,tz,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0020,track,1,0.03255067,-0.01427029,0.49446008,0.01407921,0.15057755,0.00493578,0.98848563,0.95460337,-0.00551780,0.29782632,0.03255067,0.01399799,0.99955434,-0.02634782,-0.01427029,-0.29754838,0.02932055,0.95425558,0.49446008,-0.00000000,0.00000000,-0.00000000,1.00000000
0021,track,1,0.03269881,-0.01472814,0.49355668,0.01874336,0.18966533,0.00266928,0.98166627,0.92803913,0.00186930,0.37247592,0.03269881,0.01235067,0.99928266,-0.03578695,-0.01472814,-0.37227586,0.03781191,0.92735076,0.49355668,-0.00000000,0.00000000,-0.00000000,1.00000000
0022,track,1,0.03272664,-0.01553401,0.49237409,0.02092504,0.22260346,0.00086887,0.97468412,0.90089327,0.00762227,0.43397221,0.03272664,0.01100976,0.99912220,-0.04040381,-0.01553401,-0.43389952,0.04117734,0.90001899,0.49237409,-0.00000000,0.00000000,-0.00000000,1.00000000
0023,track,1,0.03237271,-0.01539847,0.49170709,0.01917010,0.25543100,-0.00005880,0.96663719,0.86950934,0.00990699,0.49381575,0.03237271,0.00967965,0.99926448,-0.03709116,-0.01539847,-0.49382025,0.03703094,0.86877429,0.49170709,-0.00000000,0.00000000,-0.00000000,1.00000000
0024,track,1,0.03217961,-0.01542459,0.49126893,0.01946800,0.29075459,0.00116530,0.95659894,0.83092022,0.00909141,0.55631614,0.03217961,0.01355031,0.99923879,-0.03656855,-0.01542459,-0.55622536,0.03792369,0.83016491,0.49126893,-0.00000000,0.00000000,-0.00000000,1.00000000
0025,track,1,0.03236896,-0.01529336,0.49168101,0.01900664,0.30801278,0.00182656,0.95119059,0.81024897,0.00823379,0.58602685,0.03236896,0.01518343,0.99927032,-0.03503271,-0.01529336,-0.58588809,0.03728300,0.80953312,0.49168101,-0.00000000,0.00000000,-0.00000000,1.00000000
0026,track,1,0.03245892,-0.01519638,0.49142039,0.01879923,0.32593116,-0.00032180,0.94520658,0.78753692,0.01286287,0.61613202,0.03245892,0.01164622,0.99929249,-0.03574812,-0.01519638,-0.61615640,0.03532845,0.78683031,0.49142039,-0.00000000,0.00000000,-0.00000000,1.00000000
0027,track,1,0.03238692,-0.01550251,0.49368322,0.02190481,0.34118694,0.00182099,0.93973845,0.76717561,0.01152478,0.64133233,0.03238692,0.01836981,0.99903321,-0.03992704,-0.01550251,-0.64117283,0.04241208,0.76622260,0.49368322,-0.00000000,0.00000000,-0.00000000,1.00000000
0028,track,1,0.03311399,-0.01527504,0.49355644,0.02039277,0.37057829,0.00002067,0.92857736,0.72534281,0.01507587,0.68822157,0.03311399,0.01515263,0.99916774,-0.03785727,-0.01527504,-0.68821996,0.03788774,0.72451109,0.49355644,-0.00000000,0.00000000,-0.00000000,1.00000000
0029,track,1,0.03434107,-0.01529844,0.49614555,0.02141555,0.41025010,-0.00020043,0.91172159,0.66338903,0.01793695,0.74805862,0.03434107,0.01720602,0.99908209,-0.03921455,-0.01529844,-0.74807584,0.03888549,0.66247177,0.49614555,-0.00000000,0.00000000,-0.00000000,1.00000000
0030,track,1,0.03581047,-0.01564125,0.49624762,0.02029101,0.43561479,0.00279967,0.89990008,0.62046319,0.01263929,0.78413278,0.03581047,0.02271700,0.99916029,-0.03408068,-0.01564125,-0.78390557,0.03895880,0.61965525,0.49624762,-0.00000000,0.00000000,-0.00000000,1.00000000
